Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
黎,hide,hide,aoi-panic,hide,（这小丫头真的是不知天高地厚啊……）,碧的房间,,,,
黎,hide,hide,aoi-panic,hide,「刚才我们说了吧，那段回忆发生在开头——就代表后面的故事都是发生在告白之后。那这样的话，似乎有一种可能性就冒出来了——一种可以解答所有疑问的可能性。」,碧的房间,,,,
黎,hide,hide,aoi-panic,hide,「碧，你知道换掉一个精神病患者的药物有多严重吗——」,碧的房间,,,,
碧,hide,hide,aoi-panic,hide,（唔——）,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「如果你表白后恼羞成怒，偷偷换掉了她的药物，那么一切都说得通了。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「所有的矛盾都可以归咎为幻觉不说，关于空的下落也很明朗了——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「空其实根本不存在，对吧。你早就认识到这点了。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「空根本从一开始就是零的幻想！零想逃离你的掌控，所以以自己的娃娃为原型构建了一个人出来！」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「从头到尾，都是零一个人在自言自语！她的回忆不仅骗了她，最开始也骗到了我。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「而你甚至会因为一个不存在的人而吃醋，甚至再次伤害被你伤害过一遍的朋友！」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「一派胡言。」,碧的房间,,,,
,hide,hide,aoi-default,hide,少女露出了比刚才还要嫌弃的表情。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「把朋友的药换掉可是犯罪行为，碧。我们随时可以请警察介入——」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「警察介入了又能怎么样呢？你没有证据的话，根本证明不了什么。」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「说我会换药？说我会换掉有精神疾病的青梅竹马的药？你在说什么呢。我当然知道这是会出事的啊，我怎么可能会干出这种事——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「你不是一开始说我说你朋友有精神病是诽谤吗？」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「那又怎样？反正你抓不到什么证据。有可能是零哪天犯病自己换掉了，赖不到我头上……」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「警察会查清楚一切的。碧。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「如果你拒绝回答的话，我就现在跟警察打电话，让他们来调查。我想很快你就会被带走吧……」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「如果你告诉我的话，我会考虑让你今天跟出院的零见一面，明天再通知警察——」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「……你真卑鄙啊，黎先生。」,碧的房间,,,,
,hide,hide,aoi-default,hide,碧还是那种恶狠狠地表情，似乎要一口把我吃掉。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「谢谢夸奖。干我们这行的，多多少少都会这样。」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「…………」,碧的房间,,,,
碧,hide,hide,aoi-sad,hide,「…………」,碧的房间,,,,
碧,hide,hide,aoi-sad,hide,「好吧，我全部告诉你——」,碧的房间,,,,
碧,hide,hide,aoi-sad,hide,「但作为交换，你得答应我一件事——」,碧的房间,,,,
,hide,hide,zero-default,hide,（医院，1202号病房）,医院，1202号病房,,,,
黎,hide,hide,zero-default,hide,「……所以，那位少女只是暂时离开，而你把离别这件事也忘记了而已。」,医院，1202号病房,,,,
黎,hide,hide,zero-default,hide,「具体的事情去问碧吧，她已经鼓起勇气打算把一切告诉你了，即使会很残酷……」,医院，1202号病房,,,,
零,hide,hide,zero-suprise,hide,「诶——是这样吗，黎先生。」,医院，1202号病房,,,,
,hide,hide,zero-default,hide,少女狐疑地看着我——那是当然，毕竟“空存在”这件事，纯是我瞎编的。,医院，1202号病房,,,,
零,hide,hide,zero-sad,hide,「但是为什么，碧之前什么都不说呢……」,医院，1202号病房,,,,
零,hide,hide,zero-sad,hide,「不过这样，我就能明白，为什么我会觉得这么悲伤了……」,医院，1202号病房,,,,
黎,hide,hide,zero-sad,hide,「零……」,医院，1202号病房,,,,
,hide,hide,zero-sad,hide,我哽咽了，对少女撒谎的罪恶感贯穿了我。,医院，1202号病房,,,,
零,hide,hide,zero-serious,hide,「我明白了。谢谢你的帮忙，黎先生。」,医院，1202号病房,,,,
,hide,hide,zero-serious,hide,少女朝我鞠了一躬。,医院，1202号病房,,,,
零,hide,hide,zero-serious,hide,「我会找碧问个清楚的。谢谢你的情报，黎先生……」,医院，1202号病房,,,,
,hide,hide,hide,hide,…………,医院，1202号病房,,,,
,hide,hide,hide,hide,…………,医院，1202号病房,,,,
,hide,hide,hide,hide,直到最后，我都能清晰地感知到：少女绝对知道我在说谎。,医院，1202号病房,,,,
,hide,hide,hide,hide,但她没有拆穿我，已经是万幸了——毕竟这是我和碧之间的约定，作为她跟我讲述真相的条件。,医院，1202号病房,,,,
,hide,hide,hide,hide,后来的事情怎么样我不清楚了。,医院，1202号病房,,,,
,hide,hide,hide,hide,干我们这行，最重要的就是保守当事人的秘密，以及讲信用。所以我按照约定，第二天才通知警察。,医院，1202号病房,,,,
,hide,hide,hide,hide,第二天警察破门而入时，碧正呆呆地坐着，眼角有着哭过的痕迹。,医院，1202号病房,,,,
,hide,hide,hide,hide,碧对自己的所作所为供认不讳，但因为受到了被害人谅解且没有造成严重后果，据说仅仅是缓刑执行——,医院，1202号病房,,,,
,hide,hide,hide,hide,当然，既然得到了被害人谅解，说明零可能已经知道了全部真相。,医院，1202号病房,,,,
,hide,hide,hide,hide,我不知道零后来怎么样了，这对我来说只是一个普通得不能再普通的任务罢了——,医院，1202号病房,,,,
,hide,hide,hide,hide,我当时还没意识到，两年后的某天，我会再次见到零。,医院，1202号病房,,,,
,hide,hide,hide,hide,只是那次遇见，代表着我们被卷入了更大的事件罢了。,医院，1202号病房,,,,
Z999,,hide,hide,hide,hide,.,,,,loadscene(VNMainMenu),
