ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1043,,hide,hide,aoi-panic,hide,其实很好理解：自然是因为零今天准备出院——这瓶药是碧给她准备的出院大礼。,碧的房间,,,,
1044,,hide,hide,aoi-panic,hide,毕竟之前碧陪同警察搜查过一次零的房间，而那时候把药罐收起来的她以为搜查已经完全结束了，所以放松了警惕。,碧的房间,,,,
1045,,hide,hide,aoi-panic,hide,不料我突然造访零的房间，打了她个措手不及。,碧的房间,,,,
1046,黎,hide,hide,aoi-panic,hide,「虽然我不是正儿八经的警察，不过你在我这老实交代，兴许还会有点用。」,碧的房间,,,,
1047,黎,hide,hide,aoi-panic,hide,「我只是给警方介入提供一个合理的切入口罢了——等警察真介入了，他们是真的什么都能查到的哦？」,碧的房间,,,,
1048,黎,hide,hide,aoi-panic,hide,「你也不想到时候在大牢里多关几年，见不到你的青梅竹马吧……」,碧的房间,,,,
1049,,hide,hide,aoi-panic,hide,我尝试跟她讲道理，劝她全盘托出。,碧的房间,,,,
1050,碧,hide,hide,aoi-sad,hide,「她会来看我的……」,碧的房间,,,,
1051,黎,hide,hide,aoi-sad,hide,「啊？」,碧的房间,,,,
1052,,hide,hide,aoi-sad,hide,听到了预料之外的反应，完全听不懂她想表达什么。,碧的房间,,,,
1053,碧,hide,hide,aoi-sad,hide,「如果我真进监狱了，零也会来看我的……」,碧的房间,,,,
1054,,hide,hide,aoi-sad,hide,碧的声音越来越小。,碧的房间,,,,
1055,,hide,hide,aoi-sad,hide,随即她深吸了一口气，像是下定了什么决心。,碧的房间,,,,
1056,碧,hide,hide,aoi-default,hide,「好吧。我会回答你的问题。」,碧的房间,,,,
1057,碧,hide,hide,aoi-default,hide,「能从我这里获得多少信息是你的本事，我不会主动交代任何事情——」,碧的房间,,,,
1058,黎,hide,hide,aoi-default,hide,「这样就够了，谢谢配合。」,碧的房间,,,,
1059,黎,hide,hide,aoi-default,hide,「所以——我再问一遍，你，一直在监听你的青梅竹马，对吧——」,碧的房间,,,,
1060,碧,hide,hide,aoi-default,hide,「是。那这样又如何——」,碧的房间,,,,
1061,黎,hide,hide,aoi-default,hide,「这不是我真正想问的。」,碧的房间,,,,
1062,碧,hide,hide,aoi-panic,hide,「诶？」,碧的房间,,,,
1063,黎,hide,hide,aoi-panic,hide,「我真正想问的——是空的下落。」,碧的房间,,,,
1064,黎,hide,hide,aoi-panic,hide,「这跟你有关，是吧。你那天跟零表白失败后，就对空做了什么，对吧。」,碧的房间,,,,
1065,碧,hide,hide,aoi-panic,hide,「没有确凿证据的妄想罢了。恕我无法回答这个问题，黎先生。」,碧的房间,,,,
1066,黎,hide,hide,aoi-panic,hide,「你首先是为了发泄怨恨，故意让空受伤——」,碧的房间,,,,
1067,黎,hide,hide,aoi-panic,hide,「然后在空受伤的那天跟零表白，表白不成后恼羞成怒，对空做了什么，是吧。」,碧的房间,,,,
1068,碧,hide,hide,aoi-panic,hide,「唔——」,碧的房间,,,,
1069,,hide,hide,aoi-panic,hide,碧的表情开始变得难看了，像吃了苍蝇一样难受。,碧的房间,,,,
1070,碧,hide,hide,aoi-panic,hide,「无可奉告。」,碧的房间,,,,
1071,黎,hide,hide,aoi-panic,hide,「刚才不是说会回答我的问题的嘛——」,碧的房间,,,,
1072,碧,hide,hide,aoi-panic,hide,「这个问题，我回答不了。」,碧的房间,,,,
1073,黎,hide,hide,aoi-panic,hide,「……是吗。」,碧的房间,,,,
1074,黎,hide,hide,aoi-panic,hide,「如果你拒绝回答的话，我就现在跟警察打电话，让他们来调查。我想很快你就会被带走吧……」,碧的房间,,,,
1075,黎,hide,hide,aoi-panic,hide,「如果你告诉我的话，我会考虑让你今天跟出院的零见一面，明天再通知警察——」,碧的房间,,,,
1076,碧,hide,hide,aoi-sad,hide,「……你真卑鄙啊，黎先生。」,碧的房间,,,,
1077,,hide,hide,aoi-sad,hide,碧整个人泄了气，像是放弃了挣扎。,碧的房间,,,,
1078,黎,hide,hide,aoi-sad,hide,「谢谢夸奖。干我们这行的，多多少少都会这样。」,碧的房间,,,,
1079,碧,hide,hide,aoi-sad,hide,「…………」,碧的房间,,,,
1080,碧,hide,hide,aoi-sad,hide,「…………」,碧的房间,,,,
1081,碧,hide,hide,aoi-sad,hide,「好吧，我全部告诉你——」,碧的房间,,,,
1082,碧,hide,hide,aoi-sad,hide,「但作为交换，你得答应我一件事——」,碧的房间,,,,
1083,,hide,hide,zero-default,hide,（医院，1202号病房）,医院病房,,,,
1084,黎,hide,hide,zero-default,hide,「……所以，那位少女其实是你用药过多，幻想出来的存在。」,医院病房,,,,
1085,黎,hide,hide,zero-default,hide,「具体的事情去问碧吧，她已经下定决心开口了，她对你的状况知道得比我清楚——」,医院病房,,,,
1086,零,hide,hide,zero-suprise,hide,「诶——是这样吗，黎先生。」,医院病房,,,,
1087,,hide,hide,zero-suprise,hide,少女狐疑地看着我——那是当然，毕竟“空是幻想出来的”这件事，纯是我瞎编的。,医院病房,,,,
1088,零,hide,hide,zero-suprise,hide,「但是为什么，碧之前什么都不说呢。又为什么，我感觉她是真实存在的呢……」,医院病房,,,,
1089,零,hide,hide,zero-sad,hide,「为什么，我会觉得这么悲伤呢……」,医院病房,,,,
1090,零,hide,hide,zero-sad,hide,「如果是这样，那我究竟是为了什么才——」,医院病房,,,,
1091,黎,hide,hide,zero-sad,hide,「零……」,医院病房,,,,
1092,,hide,hide,zero-sad,hide,我哽咽了，对少女撒谎的罪恶感贯穿了我。,医院病房,,,,
1093,零,hide,hide,zero-serious,hide,「我明白了。谢谢你的帮忙，黎先生。」,医院病房,,,,
1094,,hide,hide,zero-serious,hide,少女朝我鞠了一躬。,医院病房,,,,
1095,零,hide,hide,zero-serious,hide,「我会找碧问个清楚的。谢谢你的情报，黎先生……」,医院病房,,,,
1096,,hide,hide,zero-default,hide,…………,医院病房,,,,
1097,,hide,hide,zero-default,hide,…………,医院病房,,,,
1098,,hide,hide,zero-default,hide,直到最后，我都能清晰地感知到：少女绝对知道我在说谎。,医院病房,,,,
1099,,hide,hide,zero-default,hide,但她没有拆穿我，已经是万幸了——毕竟这是我和碧之间的约定，作为她跟我讲述真相的条件。,医院病房,,,,
1100,,hide,hide,zero-default,hide,后来的事情怎么样我不清楚了。,医院病房,,,,
1101,,hide,hide,zero-default,hide,干我们这行，最重要的就是保守当事人的秘密，以及讲信用。所以我按照约定，第二天才通知警察。,医院病房,,,,
1102,,hide,hide,zero-default,hide,只是第二天警察破门而入时，发现零和碧都消失无踪了。,医院病房,,,,
1103,,hide,hide,zero-default,hide,庆幸的是碧地下室的那位少女还活着，虽然精神状态已经很不好，但经过检查后并无大碍。,医院病房,,,,
1104,,hide,hide,zero-default,hide,对于她追问的零和碧的下落，我们只能摇了摇头，表示什么都不知道了。,医院病房,,,,
1105,,hide,hide,zero-default,hide,经过调查，她们收拾了行李，没有留下纸条之类的话语，在零出院的那个晚上就坐航班出国了——,医院病房,,,,
1106,,hide,hide,zero-default,hide,至于零最后知道了真相没有，我就不得了之了。,医院病房,,,,
1107,,hide,hide,zero-default,hide,这件事，就这么离奇荒诞地，迎来了结局。,医院病房,,,,
1108,黎,hide,hide,zero-default,hide,（结局上来说，我还是把零交给了控制欲那么强的碧——我这样做，真的对吗……）,医院病房,,,,
1109,黎,hide,hide,zero-default,hide,（我是不是，做错了什么呢……）,医院病房,,,,
1110,黎,hide,hide,zero-default,hide,（事已至此，希望零和碧在另一个地方过得幸福吧……）,医院病房,,,,
1111,,hide,hide,zero-default,hide,我只能这样祈祷着。,医院病房,,,loadscene(VNMainMenu),
